iter	Accuracy	MultiClass
0	0.3966823967	2.168303715
1	0.4311454311	2.072749672
2	0.4607464607	1.993638182
3	0.4996424996	1.912700929
4	0.533962534	1.836306118
5	0.542971543	1.770615387
6	0.5645645646	1.718056381
7	0.5827255827	1.662549199
8	0.5897325897	1.62174113
9	0.5957385957	1.582175971
10	0.6127556128	1.538161714
11	0.6236236236	1.496712488
12	0.6306306306	1.460873544
13	0.6372086372	1.428007696
14	0.6417846418	1.401390984
15	0.6496496496	1.373981771
16	0.6592306592	1.347291182
17	0.6656656657	1.323583549
18	0.6716716717	1.302644959
19	0.6752466752	1.282065436
20	0.6818246818	1.260434305
21	0.6813956814	1.243504516
22	0.683969684	1.22285657
23	0.6888316888	1.205560542
24	0.6924066924	1.188974608
25	0.6945516946	1.169859142
26	0.6954096954	1.153994839
27	0.6992706993	1.140879451
28	0.7078507079	1.123826829
29	0.7122837123	1.109510171
30	0.713999714	1.09889754
31	0.7178607179	1.084706361
32	0.72000572	1.07369044
33	0.7225797226	1.060491072
34	0.7274417274	1.048417171
35	0.7288717289	1.039753812
36	0.7358787359	1.026538709
37	0.7395967396	1.017247836
38	0.7411697412	1.006387844
39	0.742027742	0.9981121739
40	0.7476047476	0.9871319642
41	0.7486057486	0.9721240898
42	0.7514657515	0.9655288457
43	0.753038753	0.9567166565
44	0.756041756	0.9472388095
45	0.7563277563	0.9398500484
46	0.7584727585	0.9289502986
47	0.7633347633	0.9200252783
48	0.7651937652	0.9129000475
49	0.7686257686	0.9057950802
50	0.7686257686	0.8974326162
51	0.7719147719	0.8891813836
52	0.7744887745	0.8819097268
53	0.7743457743	0.875437034
54	0.7754897755	0.8669418547
55	0.7772057772	0.8597306399
56	0.7780637781	0.8550412306
57	0.7812097812	0.8473109172
58	0.7842127842	0.8416484996
59	0.7850707851	0.8353506827
60	0.7892177892	0.8257414033
61	0.7885027885	0.8217692872
62	0.7889317889	0.81572468
63	0.7905047905	0.8095686761
64	0.7936507937	0.8044210557
65	0.7947947948	0.8003526158
66	0.7963677964	0.7954383248
67	0.7987987988	0.7897035272
68	0.7995137995	0.7837112724
69	0.8019448019	0.7770287548
70	0.8033748034	0.7733282393
71	0.8038038038	0.7700324473
72	0.8058058058	0.7647139515
73	0.8053768054	0.7599884074
74	0.8058058058	0.7549077424
75	0.8082368082	0.7488176737
76	0.8098098098	0.7444379316
77	0.8120978121	0.7370756911
78	0.812955813	0.7322057497
79	0.8152438152	0.7278822526
80	0.8176748177	0.7227921688
81	0.8185328185	0.7194853503
82	0.8186758187	0.7158429324
83	0.8213928214	0.7096679544
84	0.8232518233	0.7046206528
85	0.823966824	0.7009078627
86	0.8246818247	0.6972569033
87	0.8252538253	0.6931164407
88	0.8271128271	0.6898681503
89	0.827970828	0.6844529821
90	0.8306878307	0.6805488124
91	0.8311168311	0.6766501152
92	0.8315458315	0.6731019893
93	0.8344058344	0.6689908392
94	0.8348348348	0.6658715324
95	0.8356928357	0.6627257369
96	0.8366938367	0.6600485908
97	0.8381238381	0.6572871073
98	0.8388388388	0.6525371207
99	0.840983841	0.6491924091
100	0.8425568426	0.6462192211
101	0.8432718433	0.6426031999
102	0.8445588446	0.6395115205
103	0.8457028457	0.636220203
104	0.8474188474	0.6328737282
105	0.8485628486	0.6294210587
106	0.8487058487	0.6262679132
107	0.8504218504	0.6220716722
108	0.8522808523	0.6189228996
109	0.8522808523	0.6169186023
110	0.8534248534	0.613363984
111	0.8532818533	0.611137029
112	0.8538538539	0.6073872305
113	0.8555698556	0.6045880917
114	0.8557128557	0.6016098624
115	0.8578578579	0.5973050326
116	0.858000858	0.5949782198
117	0.8597168597	0.5910008948
118	0.8617188617	0.5874908945
119	0.8637208637	0.582421085
120	0.864006864	0.5787238
121	0.8655798656	0.573809324
122	0.8658658659	0.5716795357
123	0.8667238667	0.5689580873
124	0.8681538682	0.5671395867
125	0.869011869	0.5637892271
126	0.8687258687	0.5614320591
127	0.8695838696	0.5591509495
128	0.8717288717	0.5571140927
129	0.8727298727	0.5537431754
130	0.873015873	0.5506735418
131	0.8734448734	0.5480527618
