iter	Passed	Remaining
0	397	396913
1	816	407588
2	1269	421997
3	1794	446725
4	2182	434276
5	2625	434979
6	3089	438319
7	3527	437462
8	4080	449275
9	4569	452392
10	5791	520744
11	7002	576545
12	8343	633474
13	9206	648375
14	9879	648734
15	10395	639338
16	11080	640699
17	11486	626664
18	11829	610757
19	12184	597053
20	12647	589629
21	13525	601272
22	14495	615730
23	15178	617277
24	15961	622516
25	16916	633700
26	18121	653036
27	18997	659491
28	20486	685943
29	21350	690321
30	22551	704917
31	23406	708060
32	23848	698840
33	24339	691529
34	24708	681244
35	25024	670090
36	25610	666560
37	26227	663971
38	26862	661923
39	27462	659098
40	27888	652310
41	28317	645920
42	28712	639027
43	29130	632919
44	29539	626885
45	29868	619437
46	30269	613757
47	30674	608375
48	30999	601636
49	31316	595013
50	31684	589576
51	32032	583981
52	32374	578468
53	32771	574101
54	33155	569673
55	33533	565272
56	33833	559735
57	34132	554358
58	34403	548706
59	34673	543219
60	34913	537435
61	35156	531888
62	35388	526338
63	35623	520994
64	35874	516045
65	36120	511152
66	36356	506276
67	36609	501762
68	36820	496811
69	37040	492105
70	37246	487345
71	37459	482805
72	37685	478554
73	37909	474386
74	38131	470291
75	38350	466266
76	38571	462358
77	38831	459011
78	39052	455280
79	39267	451574
80	39484	447976
81	39698	444431
82	39918	441031
83	40128	437589
84	40337	434225
85	40545	430914
86	40751	427661
87	40957	424468
88	41160	421320
89	41367	418274
90	41578	415323
91	41783	412382
92	41990	409517
93	42202	406761
94	42411	404022
95	42620	401344
96	42827	398696
97	43039	396142
98	43258	393692
99	43470	391237
100	43685	388844
101	43901	386503
102	44124	384265
103	44328	381904
104	44530	379571
105	44739	377329
106	44946	375112
107	45157	372966
108	45361	370798
109	45563	368648
110	45766	366545
111	45979	364553
112	46217	362785
113	46433	360877
114	46642	358940
115	46868	357173
116	47099	355457
117	47328	353760
118	47552	352051
119	47803	350561
120	48038	348971
121	48261	347325
122	48477	345651
123	48719	344177
124	48956	342698
125	49196	341253
126	49446	339898
127	49664	338337
128	49889	336849
129	50099	335282
130	50328	333857
131	50591	332675
132	50833	331370
133	51063	330005
134	51281	328583
135	51499	327171
136	51721	325805
137	51934	324405
138	52171	323161
139	52415	321979
140	52635	320664
141	52863	319416
142	53128	318397
143	53346	317116
144	53569	315877
145	53778	314565
146	53997	313331
147	54215	312105
148	54442	310943
149	54672	309811
150	54901	308682
151	55118	307502
152	55338	306353
153	55555	305194
154	55776	304072
155	56000	302975
156	56212	301829
157	56430	300722
158	56641	299593
159	56875	298598
160	57089	297503
161	57305	296429
162	57525	295389
163	57739	294333
164	57956	293296
165	58174	292271
166	58389	291246
167	58607	290248
168	58816	289210
169	59029	288204
170	59257	287279
171	59485	286361
172	59700	285389
173	59915	284426
174	60132	283480
175	60335	282479
176	60543	281508
177	60756	280574
178	60960	279600
179	61171	278670
180	61378	277727
181	61591	276821
182	61808	275942
183	62046	275161
184	62293	274426
185	62546	273724
186	62777	272931
187	63034	272253
188	63263	271465
189	63490	270669
190	63744	269997
191	64003	269349
192	64246	268638
193	64473	267865
194	64731	267223
195	64983	266566
196	65231	265893
197	65495	265290
198	65712	264501
199	65939	263758
200	66166	263019
201	66394	262289
202	66664	261732
203	66912	261091
204	67151	260417
205	67398	259778
206	67629	259082
207	67861	258397
208	68073	257637
209	68314	256993
210	68550	256334
211	68789	255688
212	69019	255017
213	69278	254454
214	69499	253754
215	69709	253017
216	69929	252324
217	70139	251602
218	70350	250886
219	70567	250193
220	70782	249501
221	70992	248793
222	71210	248118
223	71437	247480
224	71658	246822
225	71873	246151
226	72087	245479
227	72299	244802
228	72519	244158
229	72744	243535
230	72962	242892
231	73181	242255
232	73394	241603
233	73606	240952
234	73818	240304
235	74038	239684
236	74261	239077
237	74495	238510
238	74714	237899
239	74932	237287
240	75160	236709
241	75400	236170
242	75621	235577
243	75836	234967
244	76052	234367
245	76261	233745
246	76473	233135
247	76681	232517
248	76889	231904
249	77093	231281
250	77303	230679
251	77512	230075
252	77715	229461
253	77938	228905
254	78180	228410
255	78409	227878
256	78646	227369
257	78877	226847
258	79115	226348
259	79395	225970
260	79671	225582
261	79953	225212
262	80186	224705
263	80399	224144
264	80649	223688
265	80891	223211
266	81146	222771
267	81376	222266
268	81608	221768
269	81831	221247
270	82054	220730
271	82275	220209
272	82549	219830
273	82802	219397
274	83057	218969
275	83293	218494
276	83519	217994
277	83742	217488
278	83979	217022
279	84201	216517
280	84433	216042
281	84645	215514
282	84875	215037
283	85123	214607
284	85347	214118
285	85562	213606
286	85768	213077
287	85982	212567
288	86202	212074
289	86412	211561
290	86623	211050
291	86837	210551
292	87047	210044
293	87255	209532
294	87468	209035
295	87684	208546
296	87901	208062
297	88109	207560
298	88317	207059
299	88520	206548
300	88724	206041
301	88932	205545
302	89157	205092
303	89391	204658
304	89607	204188
305	89819	203708
306	90033	203235
307	90246	202761
308	90459	202290
309	90671	201818
310	90894	201370
311	91116	200923
312	91328	200456
313	91564	200041
314	91783	199593
315	91999	199137
316	92224	198704
317	92443	198259
318	92652	197795
319	92868	197345
320	93079	196888
321	93287	196425
322	93513	196002
323	93741	195585
324	93972	195173
325	94222	194804
326	94458	194405
327	94696	194011
328	94945	193642
329	95182	193248
330	95417	192851
331	95675	192503
332	95925	192139
333	96155	191736
334	96383	191328
335	96617	190935
336	96864	190568
337	97120	190217
338	97363	189845
339	97629	189515
340	97848	189097
341	98076	188697
342	98298	188285
343	98525	187886
344	98777	187534
345	99027	187179
346	99286	186841
347	99518	186453
348	99745	186058
349	99970	185660
350	100194	185259
351	100427	184878
352	100660	184495
353	100893	184116
354	101113	183713
355	101372	183381
356	101587	182970
357	101797	182553
358	102012	182145
359	102252	181781
360	102473	181386
361	102685	180975
362	102904	180578
363	103109	180158
364	103375	179844
365	103611	179479
366	103825	179078
367	104038	178674
368	104246	178263
369	104456	177857
370	104659	177442
371	104872	177042
372	105079	176635
373	105286	176228
374	105493	175822
375	105704	175423
376	105914	175025
377	106127	174633
378	106336	174235
379	106570	173877
380	106786	173492
381	106997	173100
382	107205	172705
383	107425	172329
384	107651	171962
385	107861	171571
386	108064	171171
387	108271	170778
388	108474	170380
389	108677	169982
390	108878	169583
391	109094	169207
392	109302	168820
393	109513	168438
394	109721	168054
395	109948	167699
396	110181	167353
397	110405	166995
398	110643	166658
399	110892	166339
400	111121	165990
401	111348	165638
402	111588	165305
403	111830	164978
404	112069	164645
405	112302	164303
406	112532	163959
407	112767	163623
408	113025	163320
409	113260	162984
410	113515	162677
411	113741	162330
412	113970	161986
413	114194	161637
414	114427	161301
415	114674	160985
416	114937	160691
417	115170	160357
418	115432	160062
419	115658	159719
420	115888	159381
421	116110	159032
422	116322	158672
423	116566	158354
424	116792	158012
425	117020	157675
426	117250	157341
427	117481	157007
428	117719	156685
429	117957	156362
430	118163	155998
431	118383	155652
432	118612	155319
433	118818	154957
434	119030	154602
435	119266	154280
436	119490	153942
437	119702	153590
438	119911	153235
439	120120	152880
440	120325	152521
441	120529	152161
442	120734	151804
443	120946	151456
444	121157	151106
445	121373	150764
446	121576	150406
447	121782	150053
448	121995	149709
449	122200	149356
450	122417	149018
451	122642	148690
452	122851	148344
453	123081	148023
454	123308	147699
455	123536	147376
456	123751	147039
457	123969	146705
458	124177	146362
459	124388	146021
460	124611	145695
461	124824	145358
462	125033	145017
463	125246	144680
464	125461	144348
465	125669	144007
466	125894	143686
467	126144	143394
468	126369	143075
469	126612	142775
470	126857	142479
471	127093	142172
472	127337	141874
473	127589	141586
474	127836	141293
475	128058	140972
476	128277	140648
477	128513	140343
478	128754	140043
479	128988	139737
480	129240	139450
481	129521	139195
482	129760	138894
483	129990	138584
484	130226	138281
485	130514	138033
486	130759	137740
487	130995	137437
488	131234	137138
489	131468	136834
490	131691	136519
491	131930	136221
492	132165	135918
493	132391	135607
494	132621	135300
495	132836	134979
496	133087	134694
497	133325	134396
498	133538	134073
499	133745	133745
500	133955	133421
501	134163	133094
502	134371	132769
503	134598	132462
504	134819	132149
505	135035	131833
506	135250	131515
507	135465	131198
508	135683	130885
509	135899	130570
510	136111	130251
511	136322	129932
512	136534	129614
513	136751	129301
514	136963	128984
515	137173	128666
516	137377	128343
517	137585	128023
518	137793	127704
519	138000	127384
520	138209	127067
521	138416	126749
522	138626	126433
523	138835	126117
524	139039	125797
525	139261	125494
526	139566	125265
527	139826	124996
528	140122	124759
529	140454	124554
530	140736	124303
531	141024	124058
532	141285	123790
533	141599	123568
534	141851	123291
535	142130	123038
536	142354	122737
537	142606	122460
538	142927	122244
539	143276	122050
540	143562	121802
541	143858	121563
542	144182	121346
543	144473	121102
544	144791	120880
545	145088	120641
546	145453	120457
547	145740	120209
548	145998	119936
549	146309	119707
550	146666	119515
551	146923	119242
552	147173	118962
553	147423	118684
554	147659	118393
555	147912	118116
556	148161	117837
557	148423	117568
558	148712	117320
559	148981	117056
560	149238	116784
561	149470	116491
562	149713	116207
563	149961	115927
564	150203	115643
565	150490	115393
566	150772	115140
567	151032	114869
568	151327	114625
569	151590	114358
570	151858	114093
571	152116	113821
572	152356	113536
573	152595	113250
574	152960	113058
575	153219	112786
576	153467	112507
577	153714	112227
578	153987	111966
579	154244	111694
580	154489	111413
581	154742	111138
582	155004	110869
583	155260	110596
584	155484	110300
585	155779	110055
586	156041	109787
587	156313	109525
588	156645	109306
589	156915	109043
590	157157	108760
591	157428	108497
592	157681	108223
593	157981	107980
594	158264	107726
595	158514	107449
596	158797	107195
597	159160	106994
598	159703	106913
599	159996	106664
600	160251	106389
601	160549	106144
602	160852	105901
603	161125	105638
604	161445	105406
605	161694	105128
606	161995	104883
607	162285	104631
608	162611	104402
609	162894	104145
610	163160	103878
611	163417	103604
612	163712	103354
613	164056	103136
614	164357	102890
615	164602	102609
616	164898	102359
617	165152	102084
618	165405	101808
619	165667	101538
620	165891	101244
621	166153	100974
622	166409	100700
623	166653	100419
624	166913	100147
625	167219	99904
626	167508	99650
627	167786	99389
628	168190	99202
629	168415	98910
630	168639	98617
631	168890	98341
632	169150	98069
633	169381	97781
634	169644	97512
635	169856	97213
636	170124	96947
637	170351	96656
638	170564	96359
639	170809	96080
640	171063	95806
641	171312	95529
642	171585	95265
643	171838	94991
644	172137	94742
645	172369	94456
646	172605	94172
647	172833	93884
648	173116	93627
649	173340	93337
650	173592	93062
651	173829	92780
652	174155	92545
653	174429	92282
654	174706	92021
655	175074	91807
656	175409	91575
657	175674	91307
658	175908	91024
659	176154	90746
660	176423	90480
661	176661	90198
662	176929	89932
663	177237	89686
664	177540	89437
665	177808	89171
666	178104	88918
667	178446	88688
668	178717	88423
669	179031	88179
670	179350	87937
671	179633	87678
672	179926	87423
673	180254	87185
674	180571	86941
675	180811	86661
676	181045	86377
677	181278	86094
678	181585	85845
679	181836	85570
680	182113	85307
681	182461	85077
682	182876	84878
683	183219	84645
684	183650	84452
685	184061	84249
686	184468	84044
687	184846	83825
688	185234	83611
689	185517	83348
690	185760	83067
691	186100	82830
692	186387	82570
693	186652	82299
694	186885	82014
695	187125	81732
696	187468	81496
697	187779	81245
698	188202	81042
699	188620	80837
700	188989	80610
701	189390	80396
702	189905	80230
703	190352	80034
704	190691	79792
705	191084	79573
706	191413	79327
707	191831	79116
708	192246	78905
709	192935	78804
710	193635	78706
711	194068	78499
712	194647	78350
713	195418	78277
714	196081	78158
715	196643	77998
716	197217	77841
717	197762	77672
718	198290	77495
719	199306	77508
720	200007	77395
721	200594	77237
722	201053	77028
723	201637	76867
724	202259	76719
725	202816	76544
726	203372	76369
727	203952	76201
728	204638	76072
729	205590	76040
730	206197	75878
731	207259	75881
732	208505	75949
733	210269	76201
734	211304	76184
735	211994	76041
736	212723	75910
737	214053	75992
738	215502	76111
739	216657	76122
740	217632	76068
741	218038	75813
742	218955	75735
743	219791	75627
744	220530	75483
745	221062	75267
746	221516	75024
747	221780	74717
748	222013	74399
749	222353	74117
750	222682	73832
751	222919	73515
752	223235	73225
753	223965	73070
754	224665	72904
755	225652	72829
756	226551	72724
757	227121	72511
758	227709	72302
759	228740	72233
760	229887	72198
761	230744	72069
762	231518	71913
763	232331	71767
764	233047	71589
765	233738	71403
766	234492	71234
767	235130	71029
768	235797	70831
769	236588	70669
770	237556	70558
771	239809	70824
772	240825	70721
773	241576	70537
774	242226	70323
775	242679	70051
776	243174	69791
777	243597	69509
778	244011	69225
779	244461	68950
780	245033	68709
781	245562	68456
782	246029	68184
783	246533	67922
784	247135	67686
785	247750	67453
786	248307	67203
787	248868	66954
788	249353	66683
789	249840	66413
790	250343	66146
791	250954	65907
792	251763	65718
793	252406	65485
794	253492	65365
795	254282	65167
796	254919	64929
797	255683	64721
798	256531	64534
799	257272	64318
800	258355	64185
801	259360	64031
802	260105	63811
803	260853	63591
804	261635	63377
805	262265	63125
806	263005	62899
807	263916	62712
808	264721	62499
809	265490	62275
810	266189	62034
811	266859	61785
812	267479	61523
813	268044	61248
814	268743	61003
815	269327	60730
816	269921	60459
817	270539	60193
818	271161	59926
819	271795	59662
820	272415	59393
821	272982	59113
822	273521	58825
823	274038	58532
824	274701	58269
825	275433	58021
826	275985	57733
827	276514	57440
828	277398	57219
829	278039	56947
830	278545	56647
831	279077	56352
832	279615	56057
833	280260	55783
834	280859	55499
835	281427	55208
836	281835	54885
837	282117	54538
838	282428	54196
839	282855	53877
840	283176	53537
841	283488	53196
842	283766	52848
843	284044	52501
844	284352	52159
845	284642	51814
846	284966	51475
847	285252	51130
848	285522	50781
849	285868	50447
850	286362	50138
851	286742	49809
852	287072	49472
853	287470	49145
854	287830	48813
855	288198	48481
856	288565	48150
857	288909	47814
858	289288	47484
859	289629	47148
860	290041	46824
861	290391	46489
862	290766	46158
863	291225	45841
864	291582	45507
865	291926	45171
866	292261	44833
867	292566	44491
868	292884	44151
869	293193	43810
870	293544	43475
871	293866	43136
872	294212	42800
873	294555	42464
874	294838	42119
875	295152	41779
876	295467	41439
877	295803	41102
878	296163	40768
879	296481	40429
880	296791	40088
881	297095	39747
882	297397	39405
883	297737	39069
884	298088	38734
885	298394	38393
886	298654	38047
887	299235	37741
888	299949	37451
889	300485	37138
890	300926	36813
891	301357	36487
892	301738	36154
893	302094	35818
894	302395	35476
895	302672	35131
896	302957	34787
897	303260	34446
898	303584	34106
899	303970	33774
900	304242	33429
901	304521	33085
902	304817	32743
903	305098	32399
904	305378	32056
905	305634	31710
906	305898	31365
907	306127	31017
908	306365	30670
909	306626	30325
910	306861	29978
911	307099	29632
912	307339	29286
913	307606	28943
914	307917	28604
915	308182	28261
916	308410	27914
917	308645	27569
918	308866	27223
919	309128	26880
920	309380	26537
921	309610	26192
922	309828	25847
923	310057	25502
924	310308	25160
925	310536	24816
926	310751	24471
927	310965	24126
928	311191	23783
929	311405	23439
930	311621	23095
931	311837	22752
932	312045	22408
933	312266	22065
934	312483	21723
935	312732	21383
936	312977	21043
937	313227	20703
938	313487	20364
939	313735	20025
940	313981	19686
941	314226	19347
942	314477	19008
943	314731	18670
944	314976	18331
945	315238	17994
946	315499	17657
947	315746	17319
948	315969	16980
949	316187	16641
950	316409	16302
951	316637	15964
952	316860	15626
953	317076	15288
954	317312	14951
955	317534	14614
956	317748	14277
957	317987	13940
958	318233	13605
959	318462	13269
960	318705	12933
961	318953	12598
962	319187	12263
963	319437	11929
964	319692	11595
965	319920	11260
966	320170	10926
967	320405	10591
968	320642	10257
969	320903	9924
970	321157	9591
971	321423	9259
972	321672	8926
973	321896	8592
974	322147	8260
975	322371	7927
976	322636	7595
977	322895	7263
978	323157	6931
979	323406	6600
980	323626	6267
981	323844	5936
982	324078	5604
983	324301	5273
984	324549	4942
985	324792	4611
986	325025	4280
987	325258	3950
988	325491	3620
989	325748	3290
990	325960	2960
991	326170	2630
992	326383	2300
993	326605	1971
994	326826	1642
995	327038	1313
996	327258	984
997	327471	656
998	327685	328
999	327906	0
